# id	type	x	y	ani_set_id
# Simon
0	1	8	190	1

# Torch
1	100	208	206	100
2	100	352	206	100
3	100	464	206	100
4	100	592	206	100

# Brick
5	1	0	237	2
5	1	16	237	2
5	1	32	237	2
5	1	48	237	2
5	1	64	237	2
5	1	80	237	2
5	1	96	237	2
5	1	112	237	2
5	1	128	237	2
5	1	144	237	2
5	1	160	237	2
5	1	176	237	2
5	1	192	237	2
5	1	208	237	2
5	1	224	237	2
5	1	240	237	2
5	1	256	237	2
5	1	272	237	2
5	1	288	237	2
5	1	304	237	2
5	1	320	237	2
5	1	336	237	2
5	1	352	237	2
5	1	368	237	2
5	1	384	237	2
5	1	400	237	2
5	1	416	237	2
5	1	432	237	2
5	1	448	237	2
5	1	464	237	2
5	1	480	237	2
5	1	496	237	2
5	1	512	237	2
5	1	528	237	2
5	1	544	237	2
5	1	560	237	2
5	1	576	237	2
5	1	592	237	2
5	1	608	237	2
5	1	624	237	2
5	1	640	237	2
5	1	656	237	2
5	1	672	237	2
5	1	688	237	2
5	1	704	237	2
5	1	720	237	2
5	1	736	237	2

# Portal
# ...	r	b	scene_id
6	50	688	205	1	704	237	2

#================== WHIP ==============
#11	0	0	11

# --- SCENE PORTAL ----

